"rt","chain","gloss","trialnum","response","clozeIndex","document","original","condition","age","comments","education","ethnicity","gender","language","languageFree","studyQuestionGuess","workerid"
10630,"86","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",14,"She offered us apple pie instead.",1,"248","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
30581,"11","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",15,"We didn't want him to disturb other diners.",3,"191","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
24287,"41","The food was good, the service was good, we had a fun time.",16,"We went to our regular restaurant on Friday night.",0,"243","The food was good, the service was good, we had a fun time.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
14318,"62","At this point I'm just sticking around to watch the show.",17,"I ordered a salad, and noticed there was something wrong.",0,"151","At this point I'm just sticking around to watch the show.","original","31","instructions weren't very clear","6","white","female","eng",NA,"reading comprehension",4
13930,"78","You think.",1,"we order appetizers ",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
13144,"68","He throw.",2,"The point was that we wanted it made our way ",5,"196","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
8264,"84","Seconds come.",3,"Despite that we went ahead with our order ",0,"063","A few seconds later the server came to check on us and asked how our food was.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
14610,"10","It be.",4,"Putting our best judgement aside we decided to stay ",0,"025","It was off to a bad start as soon as I walked in the door.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
11995,"11","Son behave.",5,"Please get the manager ",4,"191","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
13016,"40","Waitress offer.",6,"None of us are happy with the service we have received ",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
20506,"41","We people.",7,"We were escorted back to the booth we requested. ",1,"243","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
12824,"76","She decide.",8,"We were interested in hearing about the specials. ",1,"033","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
52720,"102","Salad deliver.",9,"He asked if we would like to order anything else ",5,"151","The salads with the dinners were delivered before the appetizer we ordered.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
12026,"88","I interrupt.",10,"The group decided to meet around 8pm. ",1,"023","I interrupted her stating, ""I will go get my manager,'' and walked away.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
9213,"20","Couple run.",11,"We were the first ones to show up ",1,"177","A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
18607,"86","I order.",12,"We all felt that we had ordered enough food for the whole group",1,"248","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
13827,"110","Dish hot.",13,"She decided to think it over before signing. ",1,"050","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
64001,"18","Waiter say.",14,"A few of our guests had to leave early.",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
18146,"41","We seat.",15,"A few of has that had been there before made suggestions. ",2,"120","We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
14107,"22","I order.",16,"We all look forward to getting together. ",0,"153","I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
14508,"29","It happen.",17,"The waitress brough a pitcher out from the bar. ",0,"171","It happened on a bank holiday and I was not at work that day.","event_only","36","Thanks ","4","caucasian","male","eng",NA,"No clue",5
152466,"11","We be.",1,"He asked his son a question, his son answered with a joke and then the parent told the son to behave, and realized that they blamed the son, even though he was kidding.",3,"191","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
55658,"102","Salad deliver.",2,"They had a negative experience at a restaurant, which they informed the manager of.",5,"151","The salads with the dinners were delivered before the appetizer we ordered.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
22322,"40","I have.",3,"The waitress offered them something while they were seated.",1,"086","I always had to speak up and try to get her attention for a refill.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
25265,"18","I tip.",4,"They were going to leave, but the waiter offered them an incentive to stay, so they did.",2,"271","I usually tip well, but I gave the waiter 12%, which actually was too much.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
22980,"86","I order.",5,"They placed an order and had to wait for what they felt was an unreasonable amount of time.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
18110,"29","It pour.",6,"Something they were anticipating, but weren't positive would happen, did.",1,"171","It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
28672,"125","He stand.",7,"A child went with their parent to an auction, talked to his mother about what she wanted and then he placed a bid for her.",1,"120","He was standing next to me, but I did my best to concentrate on my soda and be polite.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
59459,"68","He put.",8,"Someone threw something, which made the manager yell, and then the manager to explain what happened and assure a couple to stay.",3,"196","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
15009,"10","It be.",9,"The person had to commute outdoors in very cold weather.",0,"025","It was off to a bad start as soon as I walked in the door.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
24313,"110","Dish hot.",10,"The person's wife retired, but he refused to and wondered why his wife chose to.",1,"050","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
21651,"76","She break.",11,"She decided to break up with someone.",0,"033","Of course, she breaks the teabag inside.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
24246,"88","He tell.",12,"There was an argument between a couple.",4,"023","He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
13043,"168","Husband decide.",13,"Someone did something embarrassing in public.",0,"177","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
15803,"84","Server start.",14,"Someone was impatient and wanted to the time to pass quickly.",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
28103,"78","You think.",15,"Someone was explaining what human beings, in general, allow others to do to them.",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
17271,"22","It thing.",16,"Someone was placing an order at a restaurant.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
22239,"21","Waitress come.",17,"Someone made a special request at a restaurant that the waitress had to check up on.",0,"243","After perusing our menus, the waitress came over to take our order.","event_only","31","","3","white","female","eng",NA,"I honestly have no idea.",6
136886,"29","It happen.",1,"It poured rain.",0,"171","It happened on a bank holiday and I was not at work that day.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
71760,"18","Waiter say.",2,"We remained in the restaurant to leave a tip.",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
84668,"47","He mention.",3,"The waiter comes quickly.",1,"025","At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
92180,"47","He mention.",3,"The waiter comes quickly.",1,"025","At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
101142,"47","He mention.",3,"Waiter come quick.",1,"025","At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
33585,"125","He stand.",4,"The mum conversed with her friend.",1,"120","He was standing next to me, but I did my best to concentrate on my soda and be polite.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
14679,"11","Son behave.",5,"We blame the criminals.",4,"191","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
56082,"21","Waitress come.",6,"Waitress looked at him.",0,"243","After perusing our menus, the waitress came over to take our order.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
18616,"48","Judge try.",7,"I am the manager.",1,"022","In reality this ""judge'' was trying to hide his martini on the floor.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
62996,"76","She break.",8,"She decide who wins.",0,"033","Of course, she breaks the teabag inside.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
8570,"40","Waitress offer.",9,"I have money.",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
12587,"84","Seconds come.",10,"Server start soon.",0,"063","A few seconds later the server came to check on us and asked how our food was.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
12767,"68","He throw.",11,"He put the headphones on.",5,"196","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
20558,"88","He tell.",12,"I go to the room.",5,"023","He told them they were no longer welcome.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
9647,"102","Salad deliver.",13,"We order two Cokes.",5,"151","The salads with the dinners were delivered before the appetizer we ordered.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
18599,"86","I order.",14,"I order a pizza.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
21168,"110","Dish hot.",15,"I wonder who will win.",1,"050","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
91438,"20","Couple run.",16,"Mother go to bed.",1,"177","A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","event_only","23","","4","Asian","male","eng",NA,"I think this HIT was about sentence construction.",7
