chainID,event_only,caveman,docIndex,ncloze,original
32,Mother go.,Mother go to edinburgh in scotland.,141,1,My mother and I once went to Edinburgh in Scotland for a trip and stopped by to eat at a friendly looking restaurant.
34,Mother go.,Mother go to edinburgh in scotland.,141,1,My mother and I once went to Edinburgh in Scotland for a trip and stopped by to eat at a friendly looking restaurant.
20,Mother go.,Mother go to edinburgh in scotland.,141,1,My mother and I once went to Edinburgh in Scotland for a trip and stopped by to eat at a friendly looking restaurant.
49,Member keep.,Member keep on he.,141,1,Luckily a member of staff was keeping a close eye on him.
38,We place.,We place.,151,1,"After we were relocated, we placed our order."
61,13th go.,13th go into o on saturday in indiana.,151,2,"On Saturday the 13th of March, my wife and I went into O' C's located in Avon, Indiana."
61,Tissue mix.,Tissue mix into salad.,151,2,A tissue that people use to blow their noses was mixed into my salad!
60,Tissue mix.,Tissue mix into salad.,151,1,A tissue that people use to blow their noses was mixed into my salad!
91,I upset.,I upset with situation.,151,1,And I am still very upset with the situation.
62,I pull.,I pull.,151,2,I pulled the lettuce out to find a tissue.
62,Tissue mix.,Tissue mix into salad.,151,2,A tissue that people use to blow their noses was mixed into my salad!
102,We greet.,We greet.,151,10,We were greeted cordially and seated promptly.
102,We notice.,We notice.,151,10,We also noticed ants crawling along the window sill.
102,We inform.,We inform.,151,10,We informed the waiter who promptly found us a new table and apologized for the ants.
102,We order.,We order.,151,10,We ordered our drinks and a quesadilla appetizer.
102,Drink deliver.,Drink deliver.,151,10,Drinks were delivered and we placed our order for our dinners.
102,Salad deliver.,Salad deliver before appetizer.,151,10,The salads with the dinners were delivered before the appetizer we ordered.
102,I reply.,I reply.,151,10,I replied forget getting the manager... we are done here!
102,We start.,We start on way.,151,10,We started on our way out of the restaurant.
102,Manager follow.,Manager follow.,151,10,The manager was following us.
102,Experience one.,Experience one.,151,10,Our experience at that restaurant was a disgusting and unhealthy one.
103,We start.,We start on way.,151,1,We started on our way out of the restaurant.
85,I mad.,I mad.,151,1,At that time I was so mad I yelled at the waiter.
33,He scowl.,He scowl.,153,1,"But he scowls and practically yells, ""YOU'VE GOT NO MONEY?!'''"
22,I order.,I order.,153,2,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank."
22,It thing.,It thing.,153,2,It was a good thing that they didn't prepare my meal before giving me the price!
34,I tell.,I tell.,153,1,"Trying not to let anyone hear, I quietly told the lad to cancel my order."
58,He notice.,He not notice.,171,2,He clearly did not notice the busy atmosphere.
58,He point.,He point to space.,171,2,He points to the space that the staff need to use to move from the restaurant to the kitchen doors.
29,It happen.,It happen on holiday.,171,2,It happened on a bank holiday and I was not at work that day.
29,It pour.,It pour with rain.,171,2,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.
153,Waitress stare.,Waitress stare.,177,2,"The waitress just stares back at him, snatches the bill from his hand and storms off and starts shouting across the entire restaurant ""THEN I'M CHARGING YOU FULL PRICE FOR HER DESSERT!!!''"
153,Everyone stare.,Everyone stare.,177,2,Everyone in the restaurant stares at her then at us.
20,Couple run.,Couple run.,177,3,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant."
20,Friend order.,Friend order with daughter.,177,3,These friends of ours had just ordered their lunches with their 9 month old daughter when we arrived.
20,Husband decide.,Husband decide.,177,3,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.
44,They have.,They have.,177,1,I changed my order to some specialty chocolate cake they had without much ado.
177,Waitress arrive.,Waitress arrive with salad.,177,2,A couple moments later our waitress arrives with the Taco Salad and melon plate my friend had ordered for herself and her daughter and just placed it in front of me without a word and breezes away.
177,She circle.,She circle with refill.,177,2,Then she circles back with drink refills and the remaining orders and notices a melon rind on the floor that had been accidentally dropped by the 9 month old.
75,Friend order.,Friend order with daughter.,177,1,These friends of ours had just ordered their lunches with their 9 month old daughter when we arrived.
168,Husband decide.,Husband decide.,177,3,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.
168,Everyone stare.,Everyone stare.,177,3,Everyone in the restaurant stares at her then at us.
168,I embarrassed.,I embarrassed.,177,3,I was so embarrassed by the spectacle she made us into that I just wanted to leave.
86,I order.,I order.,177,2,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.
86,I order.,I order.,177,2,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad."
11,He kid.,He kid.,191,5,"He was a generally quiet, well-behaved kid, even at that age, and we made sure we brought lots of quiet activities and even some Cheerios and other toddler snacks for the wait."
11,Son get.,Son get.,191,5,Our son got a little cranky so we gave him some Cheerios.
11,We be.,We be.,191,5,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons."
11,Son behave.,Son behave.,191,5,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.
11,We blame.,We not blame.,191,5,"We don't blame him, but we also knew that others didn't come to this restaurant to sit beside a cranky toddler."
133,We wait.,We wait.,191,3,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in."
133,We get.,We get.,191,3,"We got our waiter's attention and explained that we had not received our food, even though we ordered before the other party had even arrived."
133,We explain.,We explain.,191,3,We explained the situation and she called our waiter over.
143,I know.,I not know.,191,1,"I don't know which of the two was right, but we were starving so we asked for the pizza to go, drove the half-hour drive home and ""enjoyed'' it at room temperature."
3,Wife think.,Wife think.,191,2,"When our son was about 18 months old, my wife and I thought we might try taking him out to a restaurant."
3,Son more.,Son more after little.,191,2,"After a little while longer, our son was being more than a little disruptive."
137,She exclaim.,She exclaim.,191,1,"When he gave her the explanation about the ""slow'' oven, she exclaimed loudly, ""What slow oven?"
24,Waiter go.,Waiter go after round.,196,1,"After a few rounds of this argument, the waiter went to get the manager."
51,He put.,He put on table.,196,1,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box."
73,Time point.,Time point.,196,1,"Each time, he took a steak out of the box, he threw it on the scale, pointed, and yelled:  ""10 ounces!''"
68,Couple be.,Couple be.,196,7,"There was a couple at the next table, and when their dinner was brought to the table, the man complained to the waiter that his steak was too small."
68,Waiter assure.,Waiter assure.,196,7,"The waiter assured the man that the steak was indeed a 10 oz steak, and the man insisted that it wasn't."
68,Manager explain.,Manager explain to man.,196,7,The manager explained to the man that 10 oz was the uncooked weight of the steak.
68,He put.,He put on table.,196,7,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box."
68,Time point.,Time point.,196,7,"Each time, he took a steak out of the box, he threw it on the scale, pointed, and yelled:  ""10 ounces!''"
68,He throw.,He throw.,196,7,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''"
68,Manager shout.,Manager shout after they.,196,7,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site."
21,Waitress come.,Waitress come.,243,3,"After perusing our menus, the waitress came over to take our order."
21,She ask.,She ask.,243,3,"After giving her my order, she then asked Clark for his."
21,Waitress look.,Waitress look in astonishment.,243,3,The waitress and I looked in astonishment as the drool slowly extended from his lip to his lap where it finally broke off.
41,Waitress come.,Waitress come.,243,2,"After perusing our menus, the waitress came over to take our order."
41,She ask.,She ask.,243,2,"After giving her my order, she then asked Clark for his."
128,We decide.,We decide.,248,1,"One night, around 2 am, after playing a gig in a medium-sized town several hours away, we decided to stop at an all-night dinner in a small town on our way home."
86,Group wait.,Group wait.,248,2,The group I was with agreed that this would be fine and patiently waited.
86,Group frustrate.,Group frustrate.,248,2,"My group and I were fairly frustrated by now, but with no other eating options for two hours in either direction we agree that we should just wait it out."
20,Waiter come.,Waiter come to table.,271,1,"As we reviewed the menus, a tuxedo-clad waiter came to our table and asked if we were ready to order."
18,Waiter say.,Waiter say.,271,3,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved."
18,We remain.,We remain for hour to spite.,271,3,"Just to spite him, we remained at our table for nearly 3 hours."
18,I tip.,I tip.,271,3,"I usually tip well, but I gave the waiter 12%, which actually was too much."
